,Alpha,Factors,Iterations,Pop_Score,Test Score
0,1,5,10,0.727,0.888
1,1,5,30,0.74,0.888
2,1,5,100,0.741,0.888
3,1,5,150,0.742,0.888
4,1,15,10,0.709,0.888
5,1,15,30,0.71,0.888
6,1,15,100,0.716,0.888
7,1,15,150,0.716,0.888
8,1,25,10,0.689,0.888
9,1,25,30,0.692,0.888
10,1,25,100,0.692,0.888
11,1,25,150,0.694,0.888
12,1,50,10,0.659,0.888
13,1,50,30,0.654,0.888
14,1,50,100,0.655,0.888
15,1,50,150,0.655,0.888
16,1,100,10,0.629,0.888
17,1,100,30,0.628,0.888
18,1,100,100,0.624,0.888
19,1,100,150,0.627,0.888
20,10,5,10,0.763,0.888
21,10,5,30,0.766,0.888
22,10,5,100,0.766,0.888
23,10,5,150,0.764,0.888
24,10,15,10,0.74,0.888
25,10,15,30,0.734,0.888
26,10,15,100,0.735,0.888
27,10,15,150,0.741,0.888
28,10,25,10,0.717,0.888
29,10,25,30,0.724,0.888
30,10,25,100,0.723,0.888
31,10,25,150,0.721,0.888
32,10,50,10,0.708,0.888
33,10,50,30,0.701,0.888
34,10,50,100,0.708,0.888
35,10,50,150,0.698,0.888
36,10,100,10,0.686,0.888
37,10,100,30,0.678,0.888
38,10,100,100,0.684,0.888
39,10,100,150,0.683,0.888
40,20,5,10,0.771,0.888
41,20,5,30,0.765,0.888
42,20,5,100,0.768,0.888
43,20,5,150,0.77,0.888
44,20,15,10,0.736,0.888
45,20,15,30,0.734,0.888
46,20,15,100,0.744,0.888
47,20,15,150,0.745,0.888
48,20,25,10,0.726,0.888
49,20,25,30,0.732,0.888
50,20,25,100,0.731,0.888
51,20,25,150,0.725,0.888
52,20,50,10,0.709,0.888
53,20,50,30,0.707,0.888
54,20,50,100,0.712,0.888
55,20,50,150,0.713,0.888
56,20,100,10,0.687,0.888
57,20,100,30,0.683,0.888
58,20,100,100,0.687,0.888
59,20,100,150,0.691,0.888
60,50,5,10,0.76,0.888
61,50,5,30,0.763,0.888
62,50,5,100,0.77,0.888
63,50,5,150,0.769,0.888
64,50,15,10,0.733,0.888
65,50,15,30,0.736,0.888
66,50,15,100,0.74,0.888
67,50,15,150,0.745,0.888
68,50,25,10,0.731,0.888
69,50,25,30,0.719,0.888
70,50,25,100,0.722,0.888
71,50,25,150,0.727,0.888
72,50,50,10,0.72,0.888
73,50,50,30,0.72,0.888
74,50,50,100,0.718,0.888
75,50,50,150,0.708,0.888
76,50,100,10,0.694,0.888
77,50,100,30,0.702,0.888
78,50,100,100,0.697,0.888
79,50,100,150,0.7,0.888
80,100,5,10,0.766,0.888
81,100,5,30,0.765,0.888
82,100,5,100,0.762,0.888
83,100,5,150,0.762,0.888
84,100,15,10,0.75,0.888
85,100,15,30,0.734,0.888
86,100,15,100,0.741,0.888
87,100,15,150,0.731,0.888
88,100,25,10,0.725,0.888
89,100,25,30,0.73,0.888
90,100,25,100,0.727,0.888
91,100,25,150,0.734,0.888
92,100,50,10,0.714,0.888
93,100,50,30,0.713,0.888
94,100,50,100,0.715,0.888
95,100,50,150,0.713,0.888
96,100,100,10,0.701,0.888
97,100,100,30,0.697,0.888
98,100,100,100,0.701,0.888
99,100,100,150,0.693,0.888
